Epsilon,Alpha,Mean,Standard Deviation
0.0,0.2,0.7619596208844867,0.04458864308323688
0.0,0.5,0.7619596208844867,0.04458864308323688
0.0,1.0,0.7619596208844867,0.04458864308323688
0.0,2.0,0.7619596208844867,0.04458864308323688
0.0,5.0,0.7619596208844867,0.04458864308323688
0.5,0.2,0.7426681518554688,0.05173593755154117
0.5,0.5,0.7448022024972099,0.05000401248460205
0.5,1.0,0.746063232421875,0.048957007817093195
0.5,2.0,0.7460643223353794,0.048962870189225446
0.5,5.0,0.7461318969726562,0.04902822459124963
1.0,0.2,0.7212905883789062,0.054906712809932826
1.0,0.5,0.7267423357282367,0.05144207852981768
1.0,1.0,0.7328894478934151,0.04839739483974192
1.0,2.0,0.732987540108817,0.048041293709585466
1.0,5.0,0.7328894478934151,0.04839739483974192
1.5,0.2,0.6959849766322544,0.05748467512947189
1.5,0.5,0.7035140991210938,0.05270578027632272
1.5,1.0,0.7167173113141742,0.04486210886272391
1.5,2.0,0.7173701695033482,0.04516107823632307
1.5,5.0,0.7176437377929688,0.045119582337797566
2.0,0.2,0.6690826416015625,0.060283960229641505
2.0,0.5,0.68023681640625,0.05457983530863849
2.0,1.0,0.6999795096261161,0.04596448115725892
2.0,2.0,0.7010105678013393,0.0451220131297045
2.0,5.0,0.7011904035295758,0.045013288512883845
2.5,0.2,0.6472069876534599,0.060128788075989266
2.5,0.5,0.6642401559012276,0.05283908301055232
2.5,1.0,0.6939010620117188,0.04353140347837667
2.5,2.0,0.6938269478934151,0.04276123641424753
2.5,5.0,0.69451904296875,0.043659490205768856
3.0,0.2,0.6339002336774554,0.04767703860495516
3.0,0.5,0.6605442592075893,0.040078654765388945
3.0,1.0,0.6994007655552456,0.036043999425472296
3.0,2.0,0.698411124093192,0.036104484570146284
3.0,5.0,0.6984688895089286,0.036008250474574996
3.5,0.2,0.6344037737165179,0.03850893961870596
3.5,0.5,0.6700363159179688,0.03375439489156677
3.5,1.0,0.7110410417829242,0.034830047518793095
3.5,2.0,0.7100840977260044,0.03347229665567695
3.5,5.0,0.7092492239815849,0.03486568745209799
4.0,0.2,0.6511481148856026,0.03838450591654481
4.0,0.5,0.684539794921875,0.03445842467293563
4.0,1.0,0.7273788452148438,0.037597209820724425
4.0,2.0,0.7270758492606026,0.03787104254712198
4.0,5.0,0.7245723179408482,0.03775478842503564
4.5,0.2,0.6705049787248883,0.03915878511046316
4.5,0.5,0.7031446184430804,0.0359911435478211
4.5,1.0,0.747330801827567,0.03828277240107273
4.5,2.0,0.7467760358537946,0.03880249901955424
4.5,5.0,0.7455956595284599,0.0382733157331358
5.0,0.2,0.6896002633231026,0.03532459648607013
5.0,0.5,0.7199281964983258,0.033935605280675664
5.0,1.0,0.7639454432896206,0.036778341953082494
5.0,2.0,0.7649350847516742,0.036597748162758605
5.0,5.0,0.7645775931222099,0.03784758730378532
5.5,0.2,0.7001942225864956,0.029608261773860407
5.5,0.5,0.7306420462472099,0.031791384574135474
5.5,1.0,0.778214590890067,0.036805905203054816
5.5,2.0,0.778151375906808,0.03685440694132852
5.5,5.0,0.7779061453683036,0.03624190329688681
6.0,0.2,0.7028078351702008,0.02724040532791559
6.0,0.5,0.7383084978376117,0.03141615548360175
6.0,1.0,0.7871900285993304,0.036233785943680874
6.0,2.0,0.7869589669363839,0.03695500993033933
6.0,5.0,0.7875616891043526,0.03642078641139176
6.5,0.2,0.7020928519112724,0.028766330683460604
6.5,0.5,0.7425199236188617,0.03401541411063237
6.5,1.0,0.7929916381835938,0.038967789525124495
6.5,2.0,0.7929905482700893,0.03846984236224528
6.5,5.0,0.7934417724609375,0.038490381933420456
7.0,0.2,0.6978650774274554,0.0311980632432098
7.0,0.5,0.7446583339146206,0.036509863762459085
7.0,1.0,0.7960324968610492,0.04200578592111995
7.0,2.0,0.7956444876534599,0.04154341828722498
7.0,5.0,0.7957512991768974,0.04202328984674306
7.5,0.2,0.6920645577566964,0.032920443923355636
7.5,0.5,0.7457188197544643,0.03857700841134338
7.5,1.0,0.7956946236746651,0.04631799957143011
7.5,2.0,0.7951507568359375,0.046052695260960376
7.5,5.0,0.7957404000418526,0.04581914251301183
8.0,0.2,0.682525634765625,0.029544668523494407
8.0,0.5,0.7393668038504464,0.0373208688927567
8.0,1.0,0.7907278878348214,0.0491431038992355
8.0,2.0,0.790543692452567,0.04941783301270994
8.0,5.0,0.789994376046317,0.04900164577968943
8.5,0.2,0.6725180489676339,0.02478311406788888
8.5,0.5,0.7328916277204242,0.033504738112571035
8.5,1.0,0.7844434465680804,0.04986090600265505
8.5,2.0,0.7842429024832589,0.049456436641402805
8.5,5.0,0.7841916765485492,0.049602029842700436
9.0,0.2,0.6643175397600446,0.024865615181939405
9.0,0.5,0.7259259905133929,0.03461612379886955
9.0,1.0,0.7811955043247768,0.0501608726560755
9.0,2.0,0.7811453683035714,0.049878164680254564
9.0,5.0,0.7808510916573661,0.050057556260935644
9.5,0.2,0.6595033918108258,0.025715194556300995
9.5,0.5,0.7189952305385044,0.03660893032266251
9.5,1.0,0.7805524553571429,0.04946156537133327
9.5,2.0,0.7807159423828125,0.04995168069847474
9.5,5.0,0.7806124005998883,0.04971857339028742
